pair_id,t_query,t_cand,n_runs,ever_accepted
500,1782492139.170,1782492052.701,1,1
501,1782492139.170,1782492099.134,1,0
502,1782492139.170,1782492100.182,1,0
503,1782492139.170,1782492101.436,1,0
504,1782492141.272,1782492049.467,3,2
505,1782492141.272,1782492050.622,3,2
506,1782492141.272,1782492051.658,3,2
507,1782492143.891,1782492043.819,1,0
508,1782492143.891,1782492044.761,2,1
509,1782492143.891,1782492045.699,3,1
510,1782492143.891,1782492046.853,2,1
511,1782492143.891,1782492048.214,1,0
512,1782492145.253,1782492044.966,3,2
513,1782492145.253,1782492045.909,3,2
514,1782492145.253,1782492046.957,3,2
515,1782492148.921,1782492041.629,3,0
516,1782492148.921,1782492042.768,3,1
517,1782492148.921,1782492043.819,3,1
518,1782492150.180,1782492040.906,3,2
519,1782492150.180,1782492041.945,3,2
520,1782492150.180,1782492043.083,3,2
521,1782492153.316,1782492036.207,1,0
522,1782492153.316,1782492037.355,2,1
523,1782492153.316,1782492038.507,3,1
524,1782492153.316,1782492039.451,2,1
525,1782492153.316,1782492040.595,1,0
526,1782492153.388,1782491819.265,3,0
527,1782492154.783,1782492037.882,3,2
528,1782492154.783,1782492039.140,3,2
529,1782492154.783,1782492039.767,3,2
530,1782492158.218,1782492032.236,1,0
531,1782492158.218,1782492033.275,1,0
532,1782492158.218,1782492034.219,3,2
533,1782492158.218,1782492035.159,2,2
534,1782492158.218,1782492036.207,2,1
535,1782492158.831,1782492033.484,3,2
536,1782492158.831,1782492034.426,3,2
537,1782492158.831,1782492035.472,3,2
538,1782492163.110,1782491992.808,1,0
539,1782492163.110,1782491993.958,1,0
540,1782492163.110,1782492000.225,1,0
541,1782492163.110,1782492030.244,1,0
542,1782492163.110,1782492031.186,2,1
543,1782492163.110,1782492032.236,2,2
544,1782492163.110,1782492033.275,1,1
545,1782492163.426,1782492029.303,2,0
546,1782492163.426,1782492030.350,3,1
547,1782492163.426,1782492031.291,3,1
548,1782492163.426,1782492032.448,1,1
549,1782492167.799,1782492010.754,2,1
550,1782492167.799,1782492025.956,3,2
551,1782492167.799,1782492027.212,3,2
552,1782492167.799,1782492028.257,1,1
553,1782492167.906,1782492001.791,1,0
554,1782492167.906,1782492002.206,1,0
555,1782492167.906,1782492002.628,1,0
556,1782492167.906,1782492027.108,2,2
557,1782492167.906,1782492028.153,2,2
558,1782492167.906,1782492029.198,2,2
559,1782492171.192,1782491825.867,3,0
560,1782492171.649,1782492012.004,2,1
561,1782492171.649,1782492013.355,3,2
562,1782492171.649,1782492017.710,1,1
563,1782492171.649,1782492018.648,3,2
564,1782492171.754,1782491980.409,1,0
565,1782492171.754,1782492005.333,1,0
566,1782492171.754,1782492007.109,1,0
