# dataset_name=lab_run_2
# dataset_scan_variant=raw
# dataset_scan_file=/home/kaushik/slam_ws/datasets/lab_run_2/scans.carmen
# matcher_type=scan_to_submap
k t x y theta score inliers dx dy dtheta do_insert did_insert
210 1776785648.424592 1.922378 -0.870442 -1.201289 0.843818 191 0.016463 0.016156 -0.016319 1 1
211 1776785648.534087 1.924677 -0.893255 -1.232263 0.774753 186 0.002300 0.027187 -0.000974 1 1
212 1776785648.641761 1.922230 -0.920920 -1.300366 0.782604 189 -0.002447 0.022334 -0.008104 1 1
213 1776785648.740235 1.927352 -0.954999 -1.386384 0.798045 190 0.005122 0.015921 -0.006017 0 0
214 1776785648.846070 1.934682 -1.001171 -1.451494 0.859949 189 0.007330 0.003828 0.004889 1 1
215 1776785648.948325 1.937900 -1.043407 -1.471743 0.869160 190 0.003218 0.007764 -0.000248 1 1
216 1776785649.061892 1.945987 -1.078439 -1.487910 0.847174 181 0.008087 0.014969 0.003833 1 1
217 1776785649.158144 1.942932 -1.118865 -1.499004 0.845729 189 -0.003056 0.009574 -0.011093 0 0
218 1776785649.266090 1.947700 -1.162594 -1.501849 0.860146 188 0.004768 0.006271 -0.002845 1 1
219 1776785649.362609 1.958590 -1.207420 -1.464295 0.813138 187 0.010890 0.005174 0.007554 0 0
220 1776785649.466414 1.980211 -1.231019 -1.400287 0.737991 198 0.021621 0.026401 -0.005992 1 1
221 1776785649.577323 1.996266 -1.269173 -1.340546 0.760232 192 0.016054 0.011846 -0.010258 1 1
222 1776785649.672737 2.002543 -1.297427 -1.280455 0.754629 207 0.006277 0.021746 -0.009910 0 0
223 1776785649.783195 2.030545 -1.334227 -1.220592 0.734237 193 0.028002 0.013200 -0.010137 1 1
224 1776785649.879743 2.038069 -1.358410 -1.159863 0.715467 210 0.007524 0.025817 -0.009270 0 0
225 1776785649.987202 2.069077 -1.378403 -1.103601 0.704319 187 -0.018992 -0.019993 0.006261 1 1
226 1776785650.088241 2.089693 -1.409790 -1.046000 0.706956 190 0.020617 0.018613 -0.012399 1 1
227 1776785650.192742 2.107824 -1.436536 -0.988171 0.696329 192 0.018131 0.023254 -0.012171 1 1
228 1776785650.296849 2.123953 -1.457288 -0.938267 0.705762 195 -0.033871 -0.020752 0.019903 1 1
229 1776785650.401787 2.147021 -1.481253 -0.888246 0.712710 193 -0.026932 -0.023965 0.020021 1 1
